datetime,close
2020-06-05,25.52
2020-06-08,26.87
2020-06-09,25.86
2020-06-10,24.37
2020-06-11,22.15
2020-06-12,23.77
2020-06-15,24.39
2020-06-16,25.16
2020-06-17,24.75
2020-06-18,24.25
2020-06-19,23.77
2020-06-22,23.79
2020-06-23,23.92
2020-06-24,22.09
2020-06-25,22.75
2020-06-26,21.39
2020-06-29,21.95
2020-06-30,22.16
2020-07-01,21.61
2020-07-02,21.86
2020-07-06,22.8
2020-07-07,21.79
2020-07-08,22.32
2020-07-09,21.34
2020-07-10,22.56
2020-07-13,22.69
2020-07-14,22.45
2020-07-15,23.64
2020-07-16,23.75
2020-07-17,23.21
2020-07-20,22.38
2020-07-21,22.64
2020-07-22,22.92
2020-07-23,23.39
2020-07-24,23.56
2020-07-27,23.74
2020-07-28,23.08
2020-07-29,23.78
2020-07-30,23.17
2020-07-31,22.13
2020-08-03,22.72
2020-08-04,22.65
2020-08-05,23.33
2020-08-06,23.09
2020-08-07,23.69
2020-08-10,24.59
2020-08-11,25.1
2020-08-12,24.74
2020-08-13,24.7
2020-08-14,24.93
2020-08-17,24.35
2020-08-18,23.98
2020-08-19,24.11
2020-08-20,23.94
2020-08-21,23.91
2020-08-24,25.25
2020-08-25,24.9
2020-08-26,24.45
2020-08-27,25.58
2020-08-28,25.78
2020-08-31,24.81
2020-09-01,24.86
2020-09-02,24.82
2020-09-03,25.12
2020-09-04,26.17
2020-09-08,25.53
2020-09-09,25.6
2020-09-10,25.4
2020-09-11,25.79
2020-09-14,26.96
2020-09-15,26.49
2020-09-16,27.59
2020-09-17,27.64
2020-09-18,27.23
2020-09-21,25.9
2020-09-22,25.61
2020-09-23,25.1
2020-09-24,24.77
2020-09-25,25.14
2020-09-28,25.79
2020-09-29,25.55
2020-09-30,26.17
2020-10-01,26.65
2020-10-02,27.46
2020-10-05,28.38
2020-10-06,27.5
2020-10-07,28.3
2020-10-08,29.15
2020-10-09,28.84
2020-10-12,28.87
2020-10-13,28.54
2020-10-14,28.67
2020-10-15,29.1
2020-10-16,29.38
2020-10-19,29.08
2020-10-20,27.61
2020-10-21,26.86
2020-10-22,27.96
2020-10-23,27.75
2020-10-26,26.89
2020-10-27,26.23
2020-10-28,25.17
2020-10-29,25.46
2020-10-30,25.02
2020-11-02,25.96
2020-11-03,26.66
2020-11-04,26.52
2020-11-05,27.48
2020-11-06,26.8
2020-11-09,29.85
2020-11-10,29.61
2020-11-11,29.4
2020-11-12,29.11
2020-11-13,30.02
2020-11-16,31.11
2020-11-17,30.57
2020-11-18,30.08
2020-11-19,30.05
2020-11-20,29.45
2020-11-23,30.63
2020-11-24,31.97
2020-11-25,31.38
2020-11-27,31.09
2020-11-30,30.47
2020-12-01,31.47
2020-12-02,32.33
2020-12-03,32.35
2020-12-04,32.97
2020-12-07,32.57
2020-12-08,32.39
2020-12-09,32.35
2020-12-10,32.98
2020-12-11,32.27
2020-12-14,31.91
2020-12-15,32.73
2020-12-16,32.96
2020-12-17,33.3
2020-12-18,32.35
2020-12-21,33.38
2020-12-22,33.26
2020-12-23,34.13
2020-12-24,33.96
2020-12-28,33.95
2020-12-29,33.93
2020-12-30,34.29
2020-12-31,34.71
2021-01-04,34.14
2021-01-05,34.77
2021-01-06,36.88
2021-01-07,36.71
2021-01-08,36.58
2021-01-11,36.29
2021-01-12,36.56
2021-01-13,37.41
2021-01-14,38.91
2021-01-15,38.77
2021-01-19,39.7
2021-01-20,39.91
2021-01-21,38.17
2021-01-22,37.37
2021-01-25,36.63
2021-01-26,35.38
2021-01-27,34.38
2021-01-28,35.89
2021-01-29,33.65
2021-02-01,34.69
2021-02-02,36.04
2021-02-03,36.11
2021-02-04,37.14
2021-02-05,37.29
2021-02-08,37.67
2021-02-09,37.12
2021-02-10,37.88
2021-02-11,37.28
2021-02-12,37.15
2021-02-16,37.9
2021-02-17,37.47
2021-02-18,36.65
2021-02-19,38.08
2021-02-22,38.82
2021-02-23,38.48
2021-02-24,40.22
2021-02-25,39.02
2021-02-26,38.68
2021-03-01,40.0
2021-03-02,39.56
2021-03-03,40.12
2021-03-04,38.91
2021-03-05,40.1
2021-03-08,40.64
2021-03-09,40.17
2021-03-10,41.61
2021-03-11,42.66
2021-03-12,42.7
2021-03-15,42.82
2021-03-16,42.2
2021-03-17,43.14
2021-03-18,41.26
2021-03-19,40.97
2021-03-22,40.54
2021-03-23,38.8
2021-03-24,39.49
2021-03-25,40.73
2021-03-26,41.32
2021-03-29,40.3
2021-03-30,41.06
2021-03-31,40.66
2021-04-01,41.66
2021-04-05,42.22
2021-04-06,42.19
2021-04-07,42.49
2021-04-08,42.25
2021-04-09,42.8
2021-04-12,43.15
2021-04-13,41.46
2021-04-14,41.5
2021-04-15,41.28
2021-04-16,41.39
2021-04-19,40.73
2021-04-20,39.57
2021-04-21,40.18
2021-04-22,39.88
2021-04-23,40.68
2021-04-26,41.47
2021-04-27,40.73
2021-04-28,43.03
2021-04-29,44.44
2021-04-30,43.74
2021-05-03,43.68
2021-05-04,44.59
2021-05-05,44.79
2021-05-06,44.9
2021-05-07,45.9
2021-05-10,46.02
2021-05-11,45.21
2021-05-12,44.13
2021-05-13,45.27
2021-05-14,46.8
2021-05-17,46.91
2021-05-18,45.85
2021-05-19,45.87
2021-05-20,45.76
2021-05-21,46.22
2021-05-24,46.4
2021-05-25,46.26
2021-05-26,46.75
2021-05-27,47.7
2021-05-28,47.41
2021-06-01,48.97
2021-06-02,49.5
2021-06-03,49.85
2021-06-04,49.79
2021-06-07,50.45
2021-06-08,50.8
2021-06-09,50.07
2021-06-10,48.99
2021-06-11,49.37
2021-06-14,48.64
2021-06-15,50.05
2021-06-16,49.51
2021-06-17,47.51
2021-06-18,46.14
2021-06-21,48.0
2021-06-22,47.9
2021-06-23,48.32
2021-06-24,49.0
2021-06-25,49.8
2021-06-28,48.49
2021-06-29,48.0
2021-06-30,48.52
2021-07-01,48.87
2021-07-02,49.05
2021-07-06,47.87
2021-07-07,47.96
2021-07-08,46.71
2021-07-09,48.73
2021-07-12,49.5
2021-07-13,48.64
2021-07-14,47.5
2021-07-15,47.72
2021-07-16,46.73
2021-07-19,44.8
2021-07-20,46.0
2021-07-21,47.14
2021-07-22,45.91
2021-07-23,46.51
2021-07-26,47.14
2021-07-27,47.23
2021-07-28,47.21
2021-07-29,48.32
2021-07-30,47.02
2021-08-02,46.85
2021-08-03,47.12
2021-08-04,47.17
2021-08-05,48.29
2021-08-06,49.4
2021-08-09,48.97
2021-08-10,50.13
2021-08-11,51.21
2021-08-12,51.62
2021-08-13,51.81
2021-08-16,51.46
2021-08-17,50.69
2021-08-18,49.95
2021-08-19,49.01
2021-08-20,49.2
2021-08-23,49.71
2021-08-24,50.21
2021-08-25,51.42
2021-08-26,50.77
2021-08-27,51.95
2021-08-30,49.35
2021-08-31,49.75
2021-09-01,48.59
2021-09-02,48.31
2021-09-03,47.38
2021-09-07,46.68
2021-09-08,45.68
2021-09-09,46.58
2021-09-10,47.32
2021-09-13,48.69
2021-09-14,47.68
2021-09-15,48.24
2021-09-16,48.69
2021-09-17,48.44
2021-09-20,47.28
2021-09-21,47.53
2021-09-22,48.35
